Fall,GeoLocation,Id,Name,Nametype,Recclass,Year,Reclat,Reclong,Mass
Found,"(36.99367, -114.99367)",44708,Coyote Spring,Valid,H5,2005,36.99367,-114.99367,240
Found,"(34.30333, -112.16617)",44707,Cordes,Valid,H4,1998,34.30333,-112.16617,54.5
Found,"(36.00217, -116.19633)",44706,Chicago Valley,Valid,L5,2004,36.00217,-116.19633,26
Found,"(34.7345, -114.21717)",44705,Buck Mountains 003,Valid,L6,2005,34.7345,-114.21717,34200
Found,"(39.67917, -117.62675)",35730,Tungsten Mountain 113,Valid,H4/5,2004,39.67917,-117.62675,4.48
Found,"(33.68085, -114.1958)",35634,Quartzsite,Valid,L4,2002,33.68085,-114.1958,69.7
Found,"(34.13228, -112.70225)",35633,Octave Mine,Valid,H5,2004,34.13228,-112.70225,1304.2
Found,"(33.66348, -114.29207)",35516,Diablo Pass,Valid,L6,2004,33.66348,-114.29207,246.6
Found,"(34.71933, -114.20783)",35489,Buck Mountains 002,Valid,L6,2004,34.71933,-114.20783,18.4
Found,"(34.73245, -114.22257)",35488,Buck Mountains 001,Valid,H6,2004,34.73245,-114.22257,50
Found,"(33.96667, -114.06667)",35487,Bouse,Valid,L4-6,2004,33.96667,-114.06667,147.4
Found,"(34.48887, -116.95223)",35473,Lucerne Valley 037,Valid,CK4,2004,34.48887,-116.95223,0.9
Found,"(34.48793, -116.95638)",35472,Lucerne Valley 036,Valid,CK4,2004,34.48793,-116.95638,2.48
Found,"(34.4868, -116.95837)",35471,Lucerne Valley 035,Valid,CK4,2004,34.4868,-116.95837,0.92
Found,"(34.49015, -116.94985)",35470,Lucerne Valley 032,Valid,CK4,2004,34.49015,-116.94985,11.87
Found,"(34.4871, -116.9578)",35469,Lucerne Valley 031,Valid,CK4,2004,34.4871,-116.9578,3.22
Found,"(34.48708, -116.95797)",35468,Lucerne Valley 030,Valid,CK4,2004,34.48708,-116.95797,4.12
Found,"(34.487, -116.956)",35467,Lucerne Valley 029,Valid,CK4,2003,34.487,-116.956,10.1
Found,"(34.4875, -116.95567)",35466,Lucerne Valley 028,Valid,CK4,2003,34.4875,-116.95567,3
Found,"(33.91667, -112.55)",35339,Trilby Wash,Valid,L4,2005,33.91667,-112.55,846
Fell,"(28.5475, -81.36222)",34489,Orlando,Valid,Eucrite,2004,28.5475,-81.36222,180
Found,"(34.75078, -114.22717)",34068,Sacramento Wash 004,Valid,H5,2004,34.75078,-114.22717,28.6
Found,"(34.75873, -114.23342)",34067,Sacramento Wash 003,Valid,H4,2004,34.75873,-114.23342,89.2
Found,"(34.75635, -114.2343)",34066,Sacramento Wash 002,Valid,H4,2004,34.75635,-114.2343,892.8
Found,"(34.75637, -114.23435)",34065,Sacramento Wash 001,Valid,H4,2003,34.75637,-114.23435,98.9
Found,"(35.236, -117.04212)",34064,Superior Valley 014,Valid,Acapulcoite,2002,35.236,-117.04212,1.77
Found,"(30.33333, -98.95)",34062,Pedernales,Valid,"Iron, IAB complex",1980,30.33333,-98.95,691
Found,"(32.73, -113.71)",34059,Mohawk,Valid,"Iron, IAB complex",2000,32.73,-113.71,586
Found,"(29.5, -98.05)",32771,Purmela,Valid,"Iron, IIF",1977,29.5,-98.05,4500
Found,"(34.78698, -114.25052)",32769,Warm Springs Wilderness,Valid,H4-6,2003,34.78698,-114.25052,156.9
Found,"(35.23667, -117.03945)",32768,Superior Valley 018,Valid,H5,2002,35.23667,-117.03945,2.74
Found,"(35.23333, -117.03945)",32767,Superior Valley 013,Valid,L5,2002,35.23333,-117.03945,2.74
Found,"(34.48728, -116.95833)",32766,Lucerne Valley 050,Valid,H4,2005,34.48728,-116.95833,6.85
Found,"(40.86717, -119.18352)",32765,Black Rock 001,Valid,L6,2003,40.86717,-119.18352,152
Found,"(35.67298, -115.36717)",32763,Roach Dry Lake 021,Valid,H6,2001,35.67298,-115.36717,59.2
Found,"(34.48667, -116.95833)",31373,Lucerne Valley 048,Valid,H4,2004,34.48667,-116.95833,2.29
Found,"(34.48613, -116.9739)",31372,Lucerne Valley 047,Valid,L6,2004,34.48613,-116.9739,30.43
Found,"(34.48742, -116.9735)",31371,Lucerne Valley 046,Valid,L6,2004,34.48742,-116.9735,10.32
Found,"(34.487, -116.96512)",31370,Lucerne Valley 045,Valid,L6,2004,34.487,-116.96512,38.56
Found,"(34.48413, -116.96083)",31369,Lucerne Valley 044,Valid,L6,2004,34.48413,-116.96083,106.22
Found,"(34.48457, -116.96255)",31368,Lucerne Valley 043,Valid,L4,2004,34.48457,-116.96255,1.75
Found,"(34.48595, -116.9637)",31367,Lucerne Valley 042,Valid,L6,2004,34.48595,-116.9637,2.17
Found,"(34.48975, -116.94277)",31366,Lucerne Valley 041,Valid,L6,2004,34.48975,-116.94277,0.84
Found,"(34.4921, -116.94308)",31365,Lucerne Valley 040,Valid,L6,2004,34.4921,-116.94308,5.21
Found,"(34.51087, -116.93545)",31364,Lucerne Valley 025,Valid,H4,2003,34.51087,-116.93545,21
Found,"(35.23705, -117.01618)",31332,Superior Valley 022,Valid,H5,2004,35.23705,-117.01618,38.9
Found,"(35.23858, -117.02628)",31331,Superior Valley 020,Valid,L6,2003,35.23858,-117.02628,307.75
Found,"(40.63783, -103.69717)",31330,Stoneham,Valid,H5,1960,40.63783,-103.69717,5000
Found,"(35.62682, -114.04373)",31309,Red Dry Lake 029,Valid,H4,2004,35.62682,-114.04373,5.25
Found,"(35.6448, -114.03452)",31308,Red Dry Lake 028,Valid,H4,2004,35.6448,-114.03452,11.3
Found,"(35.67947, -114.04338)",31307,Red Dry Lake 025,Valid,L5/6,2003,35.67947,-114.04338,6.55
Found,"(35.69732, -114.032)",31306,Red Dry Lake 024,Valid,L5,2003,35.69732,-114.032,17.9
